"AFFIRMATIVE ACTION", 317, "DO YOU THINK AFFIRMATIVE ACTION IN HIRING AND PROMOTION IS A GOOD POLICY FOR PRIVATE INDUSTRY?  WILL IT ACCOMPLISH THE GOVERNMENT'S GOALS? CAN YOU DISTINGUISH BETWEEN AFFIRMATIVE ACTION AND A QUOTA SYSTEM?", "N", "", ""
"AIDS", 301, "PLEASE DISCUSS FUNDING FOR AIDS RESEARCH.  SHOULD THE US SPEND MORE, LESS, OR ABOUT THE SAME AMOUNT OF MONEY IT CURRENTLY IS?  WHY DO YOU THINK SO?", "Y", "", ""
"AIR POLLUTION", 302, "PLEASE DISCUSS AIR POLLUTION.  FIND OUT WHAT SUBSTANCES THE OTHER CALLER THINKS CONTRIBUTE THE MOST TO AIR POLLUTION TODAY.  WHAT CAN INDIVIDUALS OR SOCIETY DO TO IMPROVE AIR QUALITY?", "Y", "", ""
"AUTO REPAIRS", 318, "WHAT WAS THE LAST AUTO REPAIR YOU PERFORMED OR HAD DONE ON YOUR CAR? ARE THERE SOME TYPES OF REPAIRS OR MAINTENANCE TASKS YOU PREFER TO DO YOURSELF?  DISCUSS YOUR EXPERIENCES IN THIS AREA WITH THE OTHER CALLER.", "Y", "", ""
"BASEBALL", 365, "FIND OUT THE OTHER CALLER'S FAVORITE PRO BASEBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?", "Y", "", ""
"BASKETBALL", 319, "FIND OUT THE OTHER CALLER'S FAVORITE PRO BASKETBALL TEAM AND WHERE IT'S HEADED THIS YEAR.  DO YOU AGREE WITH THE CALLER'S PREDICTION?", "Y", "", ""
"BOATING AND SAILING", 326, "DO YOU SAIL OR ENJOY SOME OTHER FORM OF BOATING? DO YOU HAVE YOUR OWN BOAT? FIND OUT WHAT THE OTHER CALLER ENJOYS OR THINKS ABOUT BOATING OR SAILING. OR YOU MIGHT DISCUSS THE PROS AND CONS OF BOAT OWNERSHIP.", "Y", "", ""
"BOOKS AND LITERATURE", 311, "FIND OUT WHAT BOOKS THE OTHER CALLER READS FOR ENJOYMENT OR SELF-IMPROVEMENT.         DO YOU HAVE SIMILAR OR DIFFERENT INTERESTS IN BOOKS?", "Y", "", ""
"BUYING A CAR", 320, "WHAT KIND OF CAR DO YOU THINK YOU MIGHT BUY NEXT?  WHAT SORTS OF THINGS WILL ENTER INTO YOUR DECISION?  SEE IF YOUR REQUIREMENTS AND THE OTHER CALLER'S REQUIREMENTS ARE SIMILAR.", "Y", "", ""
"CAMPING", 321, "FIND OUT FROM THE OTHER CALLER WHAT KIND OF CAMPING THEY HAVE DONE.  HOW DOES IT COMPARE WITH YOUR OWN EXPERIENCES?", "Y", "", ""
