path,ground_truth,pred,time
./data/raw/train-ws96-i/wav/20/2005A/sw2005A-ws96-i-0041.wav,H# LIKE FINDING A H# PROPER NURSING HOME H#,finding um a proper nursing home,2.6961867809295654
./data/raw/train-ws96-i/wav/20/2005B/sw2005B-ws96-i-0015.wav,H# IN DOING IT WHEN IT GOT TO THE POINT THAT WE HAD DO IT H#,in doing it when it got to pought that we had to it,3.0260157585144043
./data/raw/train-ws96-i/wav/20/2006A/sw2006A-ws96-i-0037.wav,H# EVERYBODY HAS THEIR HOME PHONE NUMBER TYPE[OF] JOB H#,uh evr oy has their home phone number tyme of job,3.0076088905334473
./data/raw/train-ws96-i/wav/20/2010B/sw2010B-ws96-i-0034.wav,H# HE REALLY WANTED IT WHETHER IT H#,he really wanted it whether it,1.9900319576263428
./data/raw/train-ws96-i/wav/20/2012A/sw2012A-ws96-i-0012.wav,H# RIGHT IT TURNED OUT TO BE H# AN INVITATION H#,right  turnes out to be a uh an invirtation,2.004086971282959
./data/raw/train-ws96-i/wav/20/2015A/sw2015A-ws96-i-0026.wav,H# PEDDLING PRODUCTS H# IF I WANTED THEIR PRODUCTS H# I WOULD HAVE H# EITHER GONE TO_THE STORE TO BOUGHT OR_I WOULD HAVE H# CALLED FOR THE H# SALESMAN TO COME OUT H#,hadling products if i wanted their products i would have edar gone ton the stort o abought i would ave called for the  sales when it come out,5.50776743888855
./data/raw/train-ws96-i/wav/20/2015B/sw2015B-ws96-i-0001.wav,h# YES YES h#,yes yes,1.05442476272583
./data/raw/train-ws96-i/wav/20/2019A/sw2019A-ws96-i-0071.wav,H# BUT H# SHE IS A GREAT COMFORT TO ME H#,but so uh she is a great comfort to me,2.588425397872925
./data/raw/train-ws96-i/wav/20/2019A/sw2019A-ws96-i-0088.wav,H# AW WHAT A SHAME H#,uh what a shame,0.9693207740783691
./data/raw/train-ws96-i/wav/20/2020B/sw2020B-ws96-i-0029.wav,H# I I REALLY_# I HAVE I HAVE STRONG OBJECTIONS TO THAT H#,i i i have i have strong objections to that,2.5545191764831543
./data/raw/train-ws96-i/wav/20/2024B/sw2024B-ws96-i-0003.wav,H# HAVE A H# I HAVE A WIDE VARIETY OF OF HOBBIES THEREFORE MY H#,have a have a wine broty of of hobbies therefore my,3.3673627376556396
./data/raw/train-ws96-i/wav/20/2024B/sw2024B-ws96-i-0041.wav,H# FALLS IN LINE WITH_THE T I CULTURE HERE[AT] TEXAS INSTRUMENTS H#,falls a lot with the ti culture here in tekeas istruments,2.918708086013794
./data/raw/train-ws96-i/wav/20/2028B/sw2028B-ws96-i-0110.wav,h# GATHERED AND THE PROGRAM AND SO FORTH h#,gather in the program and so forth,1.726367712020874
./data/raw/train-ws96-i/wav/20/2032A/sw2032A-ws96-i-0009.wav,H# AND HOW ABOUT THE ROLLING STONES H#,an have a the loling sone,1.5010316371917725
./data/raw/train-ws96-i/wav/20/2035B/sw2035B-ws96-i-0016.wav,H# AND WE H#,and we um,0.8761086463928223
